Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
4000 m steeplechase,12:58.4,John Rimmer,GBR,1900-07-16,Olympic Games,Paris,FRA,Male,Outdoor,False,Long Distance
200 m hurdles,22.55,Laurent Ottoz,ITA,1995-05-31,,Milan,ITA,Male,Outdoor,False,Hurdles
200 m hurdles straight,21.90,Don Styron,USA,1960-04-02,,Baton Rouge,USA,Male,Outdoor,False,Hurdles
200 m hurdles straight,22.10,Andy Turner,GBR,2011-05-15,Manchester City Games,Manchester,GBR,Male,Outdoor,False,Hurdles
200 m hurdles straight,22.10,Louis Jacobus van Zyl,RSA,2015-05-09,Manchester City Games,Manchester,GBR,Male,Outdoor,False,Hurdles
220 y hurdles straight,21.90,Don Styron,USA,1960-04-02,,Baton Rouge,USA,Male,Outdoor,False,Hurdles
300 m hurdles,33.26,Karsten Warholm,NOR,2021-06-04,Night of Highlights,Oslo,NOR,Male,Outdoor,False,Hurdles
440 y hurdles,48.70,Jim Bolding,USA,1974-07-25,,Turin,ITA,Male,Outdoor,False,Hurdles
Standing long jump,12 ft 3 in,Byron Jones,USA,2015-02-23,NFL Scouting Combine,Indianapolis,USA,Male,Outdoor,False,Jumping
Standing triple jump,10.95 m,Tydree Lewis,USA,2011-10-31,,,,Male,Outdoor,False,Jumping
Weight throw,25.41 m,Lance Deal,USA,1993-02-20,,Azusa,USA,Male,Outdoor,False,Throwing
Icosathlon,14571 pts,Joseph Detmer,USA,2010-09-25,World Championships,"Lynchburg, Virginia",USA,Male,Outdoor,False,Multisport Events
1500 m walk (track),5:12.00,Antanas Grigaliūnas,LTU,1990-05-12,,Vilnius,LTU,Male,Outdoor,False,Walking
Mile walk (track),5:31.08,Tom Bosworth,GBR,2017-07-09,London Grand Prix,London,GBR,Male,Outdoor,False,Walking
3000 m walk (track),10:47.11,Giovanni De Benedictis,ITA,1990-05-19,,San Giovanni Valdarno,ITA,Male,Outdoor,False,Walking
5000 m walk (track),18:05.49,Hatem Ghoula,TUN,1997-05-01,,Tunis,TUN,Male,Outdoor,False,Walking
5 km walk (road),18:21,Robert Korzeniowski,POL,1990-09-15,,Bad Salzdetfurth,GER,Male,Outdoor,False,Walking
"10,000 m walk (track)",37:25.21,Eiki Takahashi,JPN,2020-11-14,Juntendo University Long Distance meeting,Inzai,JPN,Male,Outdoor,False,Walking
10 km walk (road),37:11.00,Roman Rasskazov,RUS,2000-05-28,,Saransk,RUS,Male,Outdoor,False,Walking
